0,2.73931
25,3.04278
50,3.26756
75,3.4733
100,3.73516
125,4.00046
150,4.20524
175,4.49072
200,4.69645
225,4.96464
250,5.08702
275,5.29823
300,5.42686
325,5.601
350,5.76219
375,5.94993
400,6.06697
425,6.17762
450,6.24801
475,6.40605
500,6.43091
525,6.49909
550,6.59771
575,6.66552
600,6.72415
625,6.80418
650,6.85427
675,6.90761
700,6.93769
725,6.9547
750,7.05166
775,7.07455
800,7.10458
825,7.13269
850,7.19991
875,7.15898
900,7.26763
925,7.2216
950,7.2255
975,7.23897
1000,7.27563
1025,7.29117
1050,7.32185
1075,7.29734
1100,7.36384
1125,7.31831
1150,7.32827
1175,7.31216
1200,7.35834
1225,7.35158
1250,7.3381
1275,7.45221
1300,7.3327
1325,7.42584
1350,7.4212
1375,7.39248
1400,7.37703
1425,7.36198
1450,7.40792
1475,7.34025
1500,7.34734
1525,7.37041
1550,7.35178
1575,7.3891
1600,7.38712
1625,7.39584
1650,7.38385
1675,7.38825
1700,7.403
1725,7.43531
1750,7.43759
1775,7.39992
1800,7.44618
1825,7.43129
1850,7.4215
1875,7.40482
1900,7.46244
1925,7.45027
1950,7.53975
1975,7.40647
2000,7.47691
2025,7.46017
2050,7.48038
2075,7.54751
2100,7.54438
2125,7.55658
2150,7.54871
2175,7.58448
2200,7.53476
2225,7.53888
2250,7.56963
2275,7.54481
2300,7.5605
2325,7.5657
2350,7.51478
2375,7.58606
2400,7.54765
2425,7.54427
2450,7.59891
2475,7.57342
2500,7.60139
2525,7.57412
2550,7.60725
2575,7.6249
2600,7.6205
2625,7.63563
2650,7.63367
2675,7.62893
2700,7.66299
2725,7.64318
2750,7.61996
2775,7.69205
2800,7.63402
2825,7.66117
2850,7.63946
2875,7.65572
2900,7.68526
2925,7.64931
2950,7.64116
2975,7.67764
3000,7.6778
3025,7.68645
3050,7.68694
3075,7.67138
3100,7.67079
3125,7.69077
3150,7.66098
3175,7.70053
3200,7.68644
3225,7.7104
3250,7.72451
3275,7.69998
3300,7.66524
3325,7.67987
3350,7.67557
3375,7.70424
3400,7.72039
3425,7.71684
3450,7.6918
3475,7.71888
3500,7.73438
3525,7.71604
3550,7.74542
3575,7.75275
3600,7.82478
3625,7.7792
3650,7.78636
3675,7.81293
3700,7.75952
3725,7.72672
3750,7.73556
3775,7.76297
3800,7.78347
3825,7.75492
3850,7.74992
3875,7.72642
3900,7.73237
3925,7.77806
3950,7.76691
3975,7.73533
4000,7.73177
4025,7.78535
4050,7.81987
4075,7.74917
4100,7.7526
4125,7.74094
4150,7.77549
4175,7.7883
4200,7.76442
4225,7.76858
4250,7.76767
4275,7.75606
4300,7.78321
4325,7.77323
4350,7.78989
